अ	अ |
अनुष्ठातुम्	अ न ु ष ् ठ ा त ु म ् |
अनुष्ठान	अ न ु ष ् ठ ा न |
अनुष्ठानं	अ न ु ष ् ठ ा न ं |
अनुष्ठानंविना	अ न ु ष ् ठ ा न ं व ि न ा |
अनुष्ठास्यति	अ न ु ष ् ठ ा स ् य त ि |
अनुष्ठास्यते	अ न ु ष ् ठ ा स ् य त े |
अनुष्ठीयन्ते	अ न ु ष ् ठ ी य न ् त े |
अनुष्ठीयन्तेसर्वान्यपि	अ न ु ष ् ठ ी य न ् त े स र ् व ा न ् य प ि |
अनुष्ठेयाः	अ न ु ष ् ठ े य ा ः |
अनुसंधानमेतन्	अ न ु स ं ध ा न म े त न ् |
अनुसारि	अ न ु स ा र ि |
अनुसृत्य	अ न ु स ृ त ् य |
अनेकान्	अ न े क ा न ् |
अनेके	अ न े क े |
अनेकेषु	अ न े क े ष ु |
अनेकैः	अ न े क ै ः |
अनेनहेतुना	अ न े न ह े त ु न ा |
अनैव	अ न ै व |
अन्तरास्ट्रिय	अ न ् त र ा स ् ट ् र ि य |
अन्तरिक्षवैज्ञानिकाः	अ न ् त र ि क ् ष व ै ज ् ञ ा न ि क ा ः |
अन्तर्जाले	अ न ् त र ् ज ा ल े |
अन्तर्यामिब्राह्मणे	अ न ् त र ् य ा म ि ब ् र ा ह ् म ण े |
अन्ताराष्ट्रिय	अ न ् त ा र ा ष ् ट ् र ि य |
अन्ताराष्ट्रियाश्च	अ न ् त ा र ा ष ् ट ् र ि य ा श ् च |
अन्तिम	अ न ् त ि म |
अन्तिमे	अ न ् त ि म े |
अन्तिमो	अ न ् त ि म ो |
अन्त्यचक्रं	अ न ् त ् य च क ् र ं |
अन्त्यद्वन्द्वे	अ न ् त ् य द ् व न ् द ् व े |
अन्धकारे	अ न ् ध क ा र े |
अन्नं	अ न ् न ं |
अन्नमपि	अ न ् न म प ि |
अन्नम्	अ न ् न म ् |
अन्नात्प्राणोमनस्सत्यं	अ न ् न ा त ् प ् र ा ण ो म न स ् स त ् य ं |
अन्नादः	अ न ् न ा द ः |
अन्य	अ न ् य |
अन्यः	अ न ् य ः |
अन्यच्च	अ न ् य च ् च |
अन्यतमं	अ न ् य त म ं |
अन्यतमः	अ न ् य त म ः |
अन्यतमग्रामे	अ न ् य त म ग ् र ा म े |
अन्यतमम्	अ न ् य त म म ् |
अन्यतमे	अ न ् य त म े |
अन्यतमो	अ न ् य त म ो |
अन्यत्र	अ न ् य त ् र |
अन्यसूत्रेषु	अ न ् य स ू त ् र े ष ु |
अन्याय्यञ्ज	अ न ् य ा य ् य ञ ् ज |
अन्याश्च	अ न ् य ा श ् च |
अन्ये	अ न ् य े |
अन्येपि	अ न ् य े प ि |
अन्येभ्यः	अ न ् य े भ ् य ः |
अन्येषां	अ न ् य े ष ा ं |
अन्यैश्च	अ न ् य ै श ् च |
अन्योन्यं	अ न ् य ो न ् य ं |
अन्वाघारादीनि	अ न ् व ा घ ा र ा द ी न ि |
अन्वीक्षणं	अ न ् व ी क ् ष ण ं |
अन्वीक्षणसन्दर्भे	अ न ् व ी क ् ष ण स न ् द र ् भ े |
अन्वीक्षणानन्तरं	अ न ् व ी क ् ष ण ा न न ् त र ं |
अन्वीक्षणार्थम्	अ न ् व ी क ् ष ण ा र ् थ म ् |
अन्वीक्षितुं	अ न ् व ी क ् ष ि त ु ं |
अन्वेषण	अ न ् व े ष ण |
अन्वेषणानि	अ न ् व े ष ण ा न ि |
अपकीर्तयितुं	अ प क ी र ् त य ि त ु ं |
अपचाय्य	अ प च ा य ् य |
अपचितम्	अ प च ि त म ् |
अपचीयमाना	अ प च ी य म ा न ा |
अपरतो	अ प र त ो |
अपरपक्षस्य	अ प र प क ् ष स ् य |
अपरपक्षे	अ प र प क ् ष े |
अपरपक्ष्य	अ प र प क ् ष ् य |
अपरपराधी	अ प र प र ा ध ी |
अपरस्यां	अ प र स ् य ा ं |
अपराह्ण	अ प र ा ह ् ण |
अपराह्णः	अ प र ा ह ् ण ः |
अपरे	अ प र े |
अपरेषण्णवतिश्च	अ प र े ष ण ् ण व त ि श ् च |
अपरेषु	अ प र े ष ु |
अपरो	अ प र ो |
अपर्णा	अ प र ् ण ा |
अपवर्गः	अ प व र ् ग ः |
अपवादः	अ प व ा द ः |
अपवादार्थं	अ प व ा द ा र ् थ ं |
अपहत	अ प ह त |
अपहृतानां	अ प ह ृ त ा न ा ं |
अपह्र्तानां	अ प ह ् र ् त ा न ा ं |
अपाकरणमनुसृत्य	अ प ा क र ण म न ु स ृ त ् य |
अपाकर्तुं	अ प ा क र ् त ु ं |
अपाकारणम्	अ प ा क ा र ण म ् |
अपाकृत्य	अ प ा क ृ त ् य |
अपानेजुह्वति	अ प ा न े ज ु ह ् व त ि |
अपि	अ प ि |
अपिसर्वज्ञौ	अ प ि स र ् व ज ् ञ ौ |
अपुत्रीकः	अ प ु त ् र ी क ः |
अपूर्वः	अ प ू र ् व ः |
अपेक्षते	अ प े क ् ष त े |
अपेक्षन्ते	अ प े क ् ष न ् त े |
अपेक्षां	अ प े क ् ष ा ं |
अपेक्षिकं	अ प े क ् ष ि क ं |
अपेक्षिता	अ प े क ् ष ि त ा |
अपोद्यामहे	अ प ो द ् य ा म ह े |
अप्तोर्याः	अ प ् त ो र ् य ा ः |
अप्रचलितान्	अ प ् र च ल ि त ा न ् |
अप्रमापीकरणविषये	अ प ् र म ा प ी क र ण व ि ष य े |
अप्रसारसन्धेः	अ प ् र स ा र स न ् ध े ः |
अप्राप्तं	अ प ् र ा प ् त ं |
अप्राप्तविधिं	अ प ् र ा प ् त व ि ध ि ं |
अप्राप्तविधिः	अ प ् र ा प ् त व ि ध ि ः |
अप्रिय	अ प ् र ि य |
अफ़गानिस्तानस्य	अ फ ़ ग ा न ि स ् त ा न स ् य |
अफ़गानिस्ताने	अ फ ़ ग ा न ि स ् त ा न े |
अफ़्गानिस्तानशरणार्थिनः	अ फ ़ ् ग ा न ि स ् त ा न श र ण ा र ् थ ि न ः |
अफ़्गानिस्तानस्य	अ फ ़ ् ग ा न ि स ् त ा न स ् य |
अफ़्गानिस्ताने	अ फ ़ ् ग ा न ि स ् त ा न े |
अफ़्गान्सैनिकेन	अ फ ़ ् ग ा न ् स ै न ि क े न |
अबूकोशाइति	अ ब ू क ो श ा इ त ि |
अबूहंसाइतिउग्र	अ ब ू ह ं स ा इ त ि उ ग ् र |
अबे	अ ब े |
अब्दुल्सुभाननामकः	अ ब ् द ु ल ् स ु भ ा न न ा म क ः |
अब्दुल्हसन्महमूदअली	अ ब ् द ु ल ् ह स न ् म ह म ू द अ ल ी |
अब्रवीत्	अ ब ् र व ी त ् |
अभयानं	अ भ य ा न ं |
अभयारण्यस्य	अ भ य ा र ण ् य स ् य |
अभवत्	अ भ व त ् |
अभाणीत्	अ भ ा ण ी त ् |
अभाषत्	अ भ ा ष त ् |
अभिघोषणां	अ भ ि घ ो ष ण ा ं |
अभिघोषितम्	अ भ ि घ ो ष ि त म ् |
अभिघोषितवत्	अ भ ि घ ो ष ि त व त ् |
अभिनन्दितः	अ भ ि न न ् द ि त ः |
अभिनन्दितवान्	अ भ ि न न ् द ि त व ा न ् |
अभिनन्दिताः	अ भ ि न न ् द ि त ा ः |
अभिनव	अ भ ि न व |
अभिनवं	अ भ ि न व ं |
अभिनवत्वेन	अ भ ि न व त ् व े न |
अभिनवप्रशासनस्य	अ भ ि न व प ् र श ा स न स ् य |
अभिनवसंस्थानस्य	अ भ ि न व स ं स ् थ ा न स ् य |
अभिनवाः	अ भ ि न व ा ः |
अभिप्रायः	अ भ ि प ् र ा य ः |
अभिभाषते	अ भ ि भ ा ष त े |
अभियन्तृ	अ भ ि य न ् त ृ |
अभियाचना	अ भ ि य ा च न ा |
अभियाचनाम्	अ भ ि य ा च न ा म ् |
अभियाचन्ते	अ भ ि य ा च न ् त े |
अभियानानि	अ भ ि य ा न ा न ि |
अभियोजन	अ भ ि य ो ज न |
अभिलक्ष्य	अ भ ि ल क ् ष ् य |
अभिलेखितम्	अ भ ि ल े ख ि त म ् |
अभिव्यज्यते	अ भ ि व ् य ज ् य त े |
अभिस्वीकृतम्	अ भ ि स ् व ी क ृ त म ् |
अभिहितम्	अ भ ि ह ि त म ् |
अभूतपूर्वां	अ भ ू त प ू र ् व ा ं |
अभूत्	अ भ ू त ् |
अभ्यर्थिजनान्	अ भ ् य र ् थ ि ज न ा न ् |
अभ्युदयं	अ भ ् य ु द य ं |
अभ्युपगतः	अ भ ् य ु प ग त ः |
अभ्युपागच्छत्	अ भ ् य ु प ा ग च ् छ त ् |
अमरनाथ	अ म र न ा थ |
अमावास्यायां	अ म ा व ा स ् य ा य ा ं |
अमिलत्	अ म ि ल त ् |
अमुना	अ म ु न ा |
अमेरिका	अ म े र ि क ा |
अमेरिकादेशीयविदेशमन्त्री	अ म े र ि क ा द े श ी य व ि द े श म न ् त ् र ी |
अमेरिकादेशीयैः	अ म े र ि क ा द े श ी य ै ः |
अमेरिकाया	अ म े र ि क ा य ा |
अमेरिकाराष्ट्रपतिः	अ म े र ि क ा र ा ष ् ट ् र प त ि ः |
अमेरिकीय	अ म े र ि क ी य |
अमेरिकीयः	अ म े र ि क ी य ः |
अमेरिकीयो	अ म े र ि क ी य ो |
अम्बाटीरायुडूः	अ म ् ब ा ट ी र ा य ु ड ू ः |
अम्बालाराजमार्गक्षेत्रात्	अ म ् ब ा ल ा र ा ज म ा र ् ग क ् ष े त ् र ा त ् |
अम्बुदय	अ म ् ब ु द य |
अम्बेगाव्उपविभागे	अ म ् ब े ग ा व ् उ प व ि भ ा ग े |
अयज्ञ	अ य ज ् ञ |
अयुजोभागाः	अ य ु ज ो भ ा ग ा ः |
अयुध्यत	अ य ु ध ् य त |
अरण्यात्	अ र ण ् य ा त ् |
अरण्येषु	अ र ण ् य े ष ु |
अरनियाआर्एस्पुराक्षेत्रयो	अ र न ि य ा आ र ् ए स ् प ु र ा क ् ष े त ् र य ो |
अरविन्द	अ र व ि न ् द |
अरुण	अ र ु ण |
अरुणजेटलिना	अ र ु ण ज े ट ल ि न ा |
अरुणजेटली	अ र ु ण ज े ट ल ी |
अरुणजेटलीम्	अ र ु ण ज े ट ल ी म ् |
अरुणाचलप्रदेशयोः	अ र ु ण ा च ल प ् र द े श य ो ः |
अरूण	अ र ू ण |
अर्चनारामासुन्दरम्	अ र ् च न ा र ा म ा स ु न ् द र म ् |
अर्जुनः	अ र ् ज ु न ः |
अर्थ	अ र ् थ |
अर्थः	अ र ् थ ः |
अर्थज्ञानपर्यन्तं	अ र ् थ ज ् ञ ा न प र ् य न ् त ं |
अर्थज्ञानम्	अ र ् थ ज ् ञ ा न म ् |
अर्थज्ञानायत्तं	अ र ् थ ज ् ञ ा न ा य त ् त ं |
अर्थबोधो	अ र ् थ ब ो ध ो |
अर्थसंकल्प	अ र ् थ स ं क ल ् प |
अर्थापगमे	अ र ् थ ा प ग म े |
अर्धपिप्पली	अ र ् ध प ि प ् प ल ी |
अर्नियेतिउपक्षेत्रे	अ र ् न ि य े त ि उ प क ् ष े त ् र े |
अर्पयिष्यति	अ र ् प य ि ष ् य त ि |
अर्पितः	अ र ् प ि त ः |
अर्हति	अ र ् ह त ि |
अलंकरिष्यति	अ ल ं क र ि ष ् य त ि |
अलङ्करिष्यति	अ ल ङ ् क र ि ष ् य त ि |
अलिं	अ ल ि ं |
अल्ज़ीरिया	अ ल ् ज ़ ी र ि य ा |
अल्ज़ीरियाराष्ट्रियविमानप्राधिकरणेन	अ ल ् ज ़ ी र ि य ा र ा ष ् ट ् र ि य व ि म ा न प ् र ा ध ि क र ण े न |
अल्जीरियारशियादेशयोः	अ ल ् ज ी र ि य ा र श ि य ा द े श य ो ः |
अवकाश	अ व क ा श |
अवक्ष्यति	अ व क ् ष ् य त ि |
अवगमार्थं	अ व ग म ा र ् थ ं |
अवगमे	अ व ग म े |
अवचित्य	अ व च ि त ् य |
अवधानतायुक्तस्य	अ व ध ा न त ा य ु क ् त स ् य |
अवधिं	अ व ध ि ं |
अवरुद्धभारतीयान्	अ व र ु द ् ध भ ा र त ी य ा न ् |
अवरुद्धानां	अ व र ु द ् ध ा न ा ं |
अवरुद्धानाम्	अ व र ु द ् ध ा न ा म ् |
अवरुन्धे	अ व र ु न ् ध े |
अवरोद्धुं	अ व र ो द ् ध ु ं |
अवरोधः	अ व र ो ध ः |
अवर्गीयस्पर्धायां	अ व र ् ग ी य स ् प र ् ध ा य ा ं |
अवर्णयत्	अ व र ् ण य त ् |
अवर्तत	अ व र ् त त |
अवर्तन्त	अ व र ् त न ् त |
अवलम्ब्य	अ व ल म ् ब ् य |
अवलोक्य	अ व ल ो क ् य |
अवशिष्टं	अ व श ि ष ् ट ं |
अवशिष्टाः	अ व श ि ष ् ट ा ः |
अवशिष्टानां	अ व श ि ष ् ट ा न ा ं |
अवशिष्टे	अ व श ि ष ् ट े |
अवशिष्टौ	अ व श ि ष ् ट ौ |
अवश्य	अ व श ् य |
अवश्यं	अ व श ् य ं |
अवश्यमनुष्ठेयाः	अ व श ् य म न ु ष ् ठ े य ा ः |
अवसरे	अ व स र े |
अवस्थितः	अ व स ् थ ि त ः |
अवस्थिते	अ व स ् थ ि त े |
अवादीत्	अ व ा द ी त ् |
अवाप्त्यर्थं	अ व ा प ् त ् य र ् थ ं |
अवाप्य	अ व ा प ् य |
अवाप्स्यति	अ व ा प ् स ् य त ि |
अवाप्स्यते	अ व ा प ् स ् य त े |
अवारुन्ध	अ व ा र ु न ् ध |
अविच्छेद	अ व ि च ् छ े द |
अविद्यता	अ व ि द ् य त ा |
अवैध	अ व ै ध |
अवोचत्	अ व ो च त ् |
अव्याकुतमपि	अ व ् य ा क ु त म प ि |
अव्याकुतात्	अ व ् य ा क ु त ा त ् |
अव्याकृतं	अ व ् य ा क ृ त ं |
अव्याकृतमं	अ व ् य ा क ृ त म ं |
अव्याकृतात्	अ व ् य ा क ृ त ा त ् |
अव्य्	अ व ् य ् |
अशीतिमिनटावधिके	अ श ी त ि म ि न ट ा व ध ि क े |
अशेष	अ श े ष |
अशेषदेशे	अ श े ष द े श े |
अशोभत	अ श ो भ त |
अश्लीलानि	अ श ् ल ी ल ा न ि |
अश्वत्थमृकोल्पन्ने	अ श ् व त ् थ म ृ क ो ल ् प न ् न े |
अश्वेभ्यः	अ श ् व े भ ् य ः |
अष्टक	अ ष ् ट क |
अष्टकालहोमाद्	अ ष ् ट क ा ल ह ो म ा द ् |
अष्टनवतिसहस्रोत्तरत्रिंशत्	अ ष ् ट न व त ि स ह स ् र ो त ् त र त ् र ि ं श त ् |
अष्टमनवमयोः	अ ष ् ट म न व म य ो ः |
अष्टवादनाद्	अ ष ् ट व ा द न ा द ् |
अष्टषष्टितमं	अ ष ् ट ष ष ् ट ि त म ं |
अष्टसप्तत्युत्तर	अ ष ् ट स प ् त त ् य ु त ् त र |
अष्टाकपालः	अ ष ् ट ा क प ा ल ः |
अष्टात्रिंशत्	अ ष ् ट ा त ् र ि ं श त ् |
अष्टादश	अ ष ् ट ा द श |
अष्टादशे	अ ष ् ट ा द श े |
अष्टोत्तर्	अ ष ् ट ो त ् त र ् |
अष्टौ	अ ष ् ट ौ |
असम	अ स म |
असमप्रशासनम्	अ स म प ् र श ा स न म ् |
असमराज्ये	अ स म र ा ज ् य े |
असमे	अ स म े |
असम्	अ स म ् |
असम्नागालैण्ड्सीम्नि	अ स म ् न ा ग ा ल ै ण ् ड ् स ी म ् न ि |
असिन्	अ स ि न ् |
असूचयत्	अ स ू च य त ् |
असौ	अ स ौ |
अस्ति	अ स ् त ि |
अस्पृश्चतायाश्च	अ स ् प ृ श ् च त ा य ा श ् च |
अस्मदीयो	अ स ् म द ी य ो |
अस्मन्	अ स ् म न ् |
अस्माकं	अ स ् म ा क ं |
अस्मात्	अ स ् म ा त ् |
अस्माभिः	अ स ् म ा भ ि ः |
अस्मासु	अ स ् म ा स ु |
अस्मिन्	अ स ् म ि न ् |
अस्मिन्नेव	अ स ् म ि न ् न े व |
अस्म्	अ स ् म ् |
अस्य	अ स ् य |
अस्यां	अ स ् य ा ं |
अस्याः	अ स ् य ा ः |
अस्योपवेशनस्य	अ स ् य ो प व े श न स ् य |
अस्वतन्त्रं	अ स ् व त न ् त ् र ं |
अस्वतन्त्राणि	अ स ् व त न ् त ् र ा ण ि |
अहं	अ ह ं |
अहः	अ ह ः |
अहमदाबादे	अ ह म द ा ब ा द े |
अहरहः	अ ह र ह ः |
अहसु	अ ह स ु |
अहस्सु	अ ह स ् स ु |
अहिंसां	अ ह ि ं स ा ं |
अहूयमानो	अ ह ू य म ा न ो |
अहोरात्रे	अ ह ो र ा त ् र े |
अह्नि	अ ह ् न ि |
अह्न्ः	अ ह ् न ् ः |
आ	आ |
आंगलौंगजनपदे	आ ं ग ल ौ ं ग ज न प द े |
आंतङ्कवादिनः	आ ं त ङ ् क व ा द ि न ः |
आई	आ ई |
आईएन्एस्	आ ई ए न ् ए स ् |
आकलितास्ति	आ क ल ि त ा स ् त ि |
आकल्प्यते	आ क ल ् प ् य त े |
